date,production_value_no_opec
2000-01-01,39.880135866
2000-01-02,39.880135866
2000-01-03,39.880135866
2000-01-04,39.880135866
2000-01-05,39.880135866
2000-01-06,39.880135866
2000-01-07,39.880135866
2000-01-08,39.880135866
2000-01-09,39.880135866
2000-01-10,39.880135866
2000-01-11,39.880135866
2000-01-12,39.880135866
2000-01-13,39.880135866
2000-01-14,39.880135866
2000-01-15,39.880135866
2000-01-16,39.880135866
2000-01-17,39.880135866
2000-01-18,39.880135866
2000-01-19,39.880135866
2000-01-20,39.880135866
2000-01-21,39.880135866
2000-01-22,39.880135866
2000-01-23,39.880135866
2000-01-24,39.880135866
2000-01-25,39.880135866
2000-01-26,39.880135866
2000-01-27,39.880135866
2000-01-28,39.880135866
2000-01-29,39.880135866
2000-01-30,39.880135866
2000-01-31,39.880135866
2000-02-01,39.840401802
2000-02-02,39.840401802
2000-02-03,39.840401802
2000-02-04,39.840401802
2000-02-05,39.840401802
2000-02-06,39.840401802
2000-02-07,39.840401802
2000-02-08,39.840401802
2000-02-09,39.840401802
2000-02-10,39.840401802
2000-02-11,39.840401802
2000-02-12,39.840401802
2000-02-13,39.840401802
2000-02-14,39.840401802
2000-02-15,39.840401802
2000-02-16,39.840401802
2000-02-17,39.840401802
2000-02-18,39.840401802
2000-02-19,39.840401802
2000-02-20,39.840401802
2000-02-21,39.840401802
2000-02-22,39.840401802
2000-02-23,39.840401802
2000-02-24,39.840401802
2000-02-25,39.840401802
2000-02-26,39.840401802
2000-02-27,39.840401802
2000-02-28,39.840401802
2000-02-29,39.840401802
2000-03-01,39.940416364
2000-03-02,39.940416364
2000-03-03,39.940416364
2000-03-04,39.940416364
2000-03-05,39.940416364
2000-03-06,39.940416364
2000-03-07,39.940416364
2000-03-08,39.940416364
2000-03-09,39.940416364
2000-03-10,39.940416364
2000-03-11,39.940416364
2000-03-12,39.940416364
2000-03-13,39.940416364
2000-03-14,39.940416364
2000-03-15,39.940416364
2000-03-16,39.940416364
2000-03-17,39.940416364
2000-03-18,39.940416364
2000-03-19,39.940416364
2000-03-20,39.940416364
2000-03-21,39.940416364
2000-03-22,39.940416364
2000-03-23,39.940416364
2000-03-24,39.940416364
2000-03-25,39.940416364
2000-03-26,39.940416364
2000-03-27,39.940416364
2000-03-28,39.940416364
2000-03-29,39.940416364
2000-03-30,39.940416364
2000-03-31,39.940416364
2000-04-01,39.680677412
2000-04-02,39.680677412
2000-04-03,39.680677412
2000-04-04,39.680677412
2000-04-05,39.680677412
2000-04-06,39.680677412
2000-04-07,39.680677412
2000-04-08,39.680677412
2000-04-09,39.680677412
2000-04-10,39.680677412
2000-04-11,39.680677412
2000-04-12,39.680677412
2000-04-13,39.680677412
2000-04-14,39.680677412
2000-04-15,39.680677412
2000-04-16,39.680677412
2000-04-17,39.680677412
2000-04-18,39.680677412
2000-04-19,39.680677412
2000-04-20,39.680677412
2000-04-21,39.680677412
2000-04-22,39.680677412
2000-04-23,39.680677412
2000-04-24,39.680677412
2000-04-25,39.680677412
2000-04-26,39.680677412
2000-04-27,39.680677412
2000-04-28,39.680677412
2000-04-29,39.680677412
2000-04-30,39.680677412
2000-05-01,39.671900506
2000-05-02,39.671900506
2000-05-03,39.671900506
2000-05-04,39.671900506
2000-05-05,39.671900506
2000-05-06,39.671900506
2000-05-07,39.671900506
2000-05-08,39.671900506
2000-05-09,39.671900506
2000-05-10,39.671900506
2000-05-11,39.671900506
2000-05-12,39.671900506
2000-05-13,39.671900506
2000-05-14,39.671900506
2000-05-15,39.671900506
2000-05-16,39.671900506
2000-05-17,39.671900506
2000-05-18,39.671900506
2000-05-19,39.671900506
2000-05-20,39.671900506
2000-05-21,39.671900506
2000-05-22,39.671900506
2000-05-23,39.671900506
2000-05-24,39.671900506
2000-05-25,39.671900506
2000-05-26,39.671900506
2000-05-27,39.671900506
2000-05-28,39.671900506
2000-05-29,39.671900506
2000-05-30,39.671900506
2000-05-31,39.671900506
2000-06-01,39.8672448
2000-06-02,39.8672448
2000-06-03,39.8672448
2000-06-04,39.8672448
2000-06-05,39.8672448
2000-06-06,39.8672448
2000-06-07,39.8672448
2000-06-08,39.8672448
2000-06-09,39.8672448
2000-06-10,39.8672448
2000-06-11,39.8672448
2000-06-12,39.8672448
2000-06-13,39.8672448
2000-06-14,39.8672448
2000-06-15,39.8672448
2000-06-16,39.8672448
2000-06-17,39.8672448
2000-06-18,39.8672448
2000-06-19,39.8672448
2000-06-20,39.8672448
2000-06-21,39.8672448
2000-06-22,39.8672448
2000-06-23,39.8672448
2000-06-24,39.8672448
2000-06-25,39.8672448
2000-06-26,39.8672448
2000-06-27,39.8672448
2000-06-28,39.8672448
2000-06-29,39.8672448
2000-06-30,39.8672448
2000-07-01,40.22226794
2000-07-02,40.22226794
2000-07-03,40.22226794
2000-07-04,40.22226794
2000-07-05,40.22226794
2000-07-06,40.22226794
2000-07-07,40.22226794
2000-07-08,40.22226794
2000-07-09,40.22226794
2000-07-10,40.22226794
2000-07-11,40.22226794
2000-07-12,40.22226794
2000-07-13,40.22226794
2000-07-14,40.22226794
2000-07-15,40.22226794
2000-07-16,40.22226794
2000-07-17,40.22226794
2000-07-18,40.22226794
2000-07-19,40.22226794
2000-07-20,40.22226794
2000-07-21,40.22226794
2000-07-22,40.22226794
2000-07-23,40.22226794
2000-07-24,40.22226794
2000-07-25,40.22226794
2000-07-26,40.22226794
2000-07-27,40.22226794
2000-07-28,40.22226794
2000-07-29,40.22226794
2000-07-30,40.22226794
2000-07-31,40.22226794
2000-08-01,40.088475091
2000-08-02,40.088475091
2000-08-03,40.088475091
2000-08-04,40.088475091
2000-08-05,40.088475091
2000-08-06,40.088475091
2000-08-07,40.088475091
2000-08-08,40.088475091
2000-08-09,40.088475091
2000-08-10,40.088475091
2000-08-11,40.088475091
2000-08-12,40.088475091
2000-08-13,40.088475091
2000-08-14,40.088475091
2000-08-15,40.088475091
2000-08-16,40.088475091
2000-08-17,40.088475091
2000-08-18,40.088475091
2000-08-19,40.088475091
2000-08-20,40.088475091
2000-08-21,40.088475091
2000-08-22,40.088475091
